id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,descriptions
125,avanair 100 tablet,Avanext 100mg Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose),Nasopharyngitis (inflammation of the throat and nasal passages),Back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Erectile dysfunction,,,,,Pyrimidinecarboxamides,No,SEX STIMULANTS REJUVENATORS,,"Avanair 100 Tablet: View Uses, Side Effects, Price and Substitutes"
126,acton-or tablet sr,Xtpara Tablet SR,Parvon 1000 SR Tablet,Instaflex P Tablet SR,Para 1000-SR Tablet,PA 12 Tablet SR,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief, Fever,,,,,No,PAIN ANALGESICS,,"Acton-OR Tablet 10's contains Paracetamol, an analgesic (pain killer) and antipyretic (reduces fever). It inhibits the production of certain chemical messengers in the brain known as prostaglandins. Thus, reduces pain."
127,aquazide 12.5 tablet,DavaIndia Hydrochlorothiazide 12.5mg Tablet,Xenia 12.5mg Tablet,Thiazide 12.5mg Tablet,Bpzide 12.5mg Tablet,Dizide 12.5mg Tablet,Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Benzothiadiazines (Thiazides),No,CARDIAC,Low-ceiling Diuretics (Inhibitors of Na+Cl symport),"Aquazide 12.5 Tablet: View Uses, Side Effects, Price and Substitutes"
128,alaspan am tablet,Loridin AM Tablet,Alastin AM Tablet,CLARIDIN AM TABLET,Lorpd AM 60mg/5mg Tablet,Lorich-AM Tablet,Upset stomach,Headache,Sleepiness,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,,A: Alaspan AM tablet contains a combination of loratadine and ambroxol as their active ingredients.18 Apr 2022
129,althrocin 250 tablet,Agrocin 250mg Tablet,Eryster 250mg Tablet,Erythrokem 250mg Tablet,Erythrotone 250mg Tablet,E Mycin 250mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Althrocin 250 tablet is an antibiotic medicine that is used to prevent and treat a wide variety of bacterial infections. It contains erythromycin as its active ingredient. It works by inhibiting the growth of bacteria responsible for the infection. Usually, this medicine is used for short-term treatment.6 May 2023"
130,azikem 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,A: The composition of Azikem Tablet is azithromycin as its active ingredient.6 May 2022
131,aldosmin 500mg tablet,Venostor 500 Tablet,Daflon 500 MG Tablet,Veinmax Tablet,,,Diarrhea,Dizziness,Hives,Itching,Nausea,Erythema (skin redness),Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Varicose veins,,,,,,No,CARDIAC,,"Aldosmin 500mg Tablet: View Uses, Side Effects, Price and ... - 1mg"
132,amlovas 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP),"Amlovas-5 Tablet 15's contains Amlodipine, a calcium channel blocker that acts by relaxing the blood vessels. This reduces the workload on the heart and makes the heart more efficient at pumping blood throughout the body. Thus, it helps to lower high blood pressure, reducing the chances of heart attack or stroke."
133,acitrom 1 tablet,Nistrom 1mg Tablet,Nicoz 1mg Tablet,Acimalone 1 Tablet,Acethromb 1mg Tablet,Cenorol 1mg Tablet,Hemorrhage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Blood clots,,,,,4-hydroxycoumarin Derivative,No,CARDIAC,Vitamin K antagonists,"Acitrom 1 MG Description

 It is used to treat and prevent the formation of abnormal blood clots (thrombus) in the blood vessels. It is used in various diseases associated with abnormal blood clots affecting the heart, brain, legs and lungs. Acitrom 1 tablet contains acenocoumarol as an active ingredient.25 May 2023"
134,af 150 tablet dt,Flika 150mg Tablet DT,Flutican 150mg Tablet DT,Fluco 150mg Tablet DT,Cone 150mg Tablet DT,,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},No,ANTI INFECTIVES,Fungal ergosterol synthesis inhibitor,"AF 150 Tablet DT: View Uses, Side Effects, Price and Substitutes | 1mg"
135,ascoril sf expectorant,Eascof  Expectorant,Ventoranz Cough Expectorant,Eledyl SF Expectorant,Asthakind Expectorant Sugar Free,Asthakind Expectorant Sugar Free,Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremors,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Ascoril SF Expectorant 100 ml is a combination of three drugs, namely Guaiphenesin (expectorant), Terbutaline sulphate (bronchodilator) and Bromhexine hydrochloride (mucolytic agent or cough thinner)."
136,amaryl m  1mg tablet pr,Glyzee M1 PR Tablet,Glimestar-M 1 Tablet PR,Metride 1 Tablet PR,Diapride M1 Tablet PR,Glycomet-GP 1 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea,Diarrhea,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,,"Amaryl M 1mg Tablet PR: View Uses, Side Effects, Price and ..."
137,azithral xl 200 liquid,Zythro 200mg Oral Suspension,Azimox 200mg Oral Suspension,Azimcin 200mg Oral Suspension,Uber 200 Oral Suspension,Aziitech 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"AZITHRAL XL 200MG LIQUID contains Azithromycin which belongs to the group of medicines called Macrolides. It is used in children to treat infections caused by bacteria and other micro-organisms which include chest, throat, and nasal infections such as bronchitis, pneumonia, tonsillitis, sore throat and sinusitis.26 Feb 2024"
138,af 400 tablet,Q Can 400mg Tablet,Force 400 Tablet,Fole 400mg Tablet,Fazol 400mg Tablet,Flucus 400mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},No,ANTI INFECTIVES,Fungal ergosterol synthesis inhibitor,"About AF-400 Tablet 1's

 AF-400 Tablet 1's contains 'Fluconazole' that kills or prevents fungi or yeast by inhibiting an enzyme in fungi responsible for its normal fat metabolism, which interferes with the formation of the fungal cell membrane."
139,amantrel tablet,Comantrel-T Tablet,Manotrel 100mg Tablet,Amantex Tablet,Parkitidin Tablet,,Nausea,Dryness in mouth,Constipation,Dizziness,Blurred vision,Insomnia (difficulty in sleeping),Hallucination,Peripheral edema,Balance disorder (loss of balance),Orthostatic hypotension (sudden lowering of blood pressure on standing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Parkinson's disease,,,,,Synthetic Tricyclic Amine Derivative,No,ANTI INFECTIVES,Dopamine facilitator,Amantrel tablet contains amantadine as the active substance. It is used in the management of Parkinson's disease. It is also used for the treatment of movement disorders caused by certain medicines. Take Amantrel tablet in the exact dose and duration as prescribed by your doctor.29 Jun 2022
140,atorva 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),Atorva 20 Tablet contains Atorvastatin 20mg which reduces the narrowing of blood vessels due to cholesterol by reducing bad cholesterol levels and increasing good cholesterol levels in the body thus preventing any risks of heart attack and stroke. Chemical Class: Pyrrole & heptanoic acid derivative.
141,acenac-mr tablet,Thioford AP Tablet,Bakwel-AP Tablet,Fense TH Tablet,Anaflam TH  4  Tablet,Thio-Seradic Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,,"Acenac-MR Tablet 10's contains Thiocolchicoside (muscle relaxant), Aceclofenac (NSAID), and Paracetamol (Analgesic). Thiocolchicoside works on the centers of the spinal cord and brain."
142,ambrolite-s expectorant,Kouf-X Expectorant Mixed Fruit Sugar Free,,,,,Nausea,Diarrhea,Vomiting,Dizziness,Headache,Rash,Tremors,Increased heart rate,Upper abdominal pain,Urticaria,Itching,Sweating,Changes in serum aminotransferase levels,Bloating,Indigestion,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,,"Ambrolite S Syrup 100 ml is an expectorant (cough syrup), which contains Ambroxol, Terbutaline, Guaifenesin, and Menthol. Ambroxol is an 'expectorant' that promotes the secretion of sputum/cough and a 'mucolytic agent' that makes sputum less viscous and makes breathing easier."
143,asthalin 4 tablet,Salmaplon 4mg Tablet,Salbetol 4mg Tablet,Sal 4mg Tablet,Salcen 4mg Tablet,Avihist 4mg Tablet,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists,"Asthalin-4 Tablet 30's contains 'Salbutamol,' which is a β₂ adrenergic receptor agonist. It relaxes the muscles in the airways and increases airflow to the lungs."
144,abiways tablet,Oxydex Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Effenac AB Tablet,Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,No,RESPIRATORY,,Product Summary
145,amaryl m  2mg tablet pr,Glimiprex MF 2/500 Tablet PR,Glimestar-M 2 Tablet PR,Metride 2 Tablet PR,Geminor M 2 Tablet PR,Exermet GM 502 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea,Diarrhea,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,,Amaryl M 2mg Tablet PR is a combination of two antidiabetic medicines: Glimepiride and Metformin. Glimepiride is a sulfonylurea which works by increasing the amount of insulin released by the pancreas in order to lower the blood glucose.29 Nov 2023
146,azoran tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea,Infection,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,Treatment of Rheumatoid arthritis,,,,"Nucleoside Analog, and Purines",No,ANTI NEOPLASTICS,Immunosuppressant- Purine analogs,Azoran tablet is an immunosuppressant medicine. It reduces the strength of the immune system. It is used in the treatment of organ transplants and a few autoimmune diseases. This medicine contains azathioprine as its active substance.4 May 2023
147,ampilox capsule,Ampoxid 250 mg/250 mg Capsule,Versatillin DC 250 mg/250 mg Capsule,Baxin D 250 mg/250 mg Capsule,Rampiclix 250mg/250mg Capsule,Broadiclox Novo 500 mg Capsule,Rash,Vomiting,Allergic reaction,Stomach pain,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,,"Ampilox Capsule is a combination of two antibiotics: Ampicillin and Dicloxacillin. These antibiotics work by preventing the formation of the bacterial protective covering which is essential for the survival of bacteria. Together, they treat your infection effectively.16 Jan 2024"
148,adrenaline tartrate injection,Enatrate Injection,Adrelin Injection,,,,Headache,Palpitations,Tremors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Severe allergic reactions, Cardiac arrest,,,,Catecholamines,No,CARDIAC,Sympathomimetics agonist,"Adrenaline Tartrate Injection contains a hormone called adrenaline, that stimulates the heart and promotes blood flow. It is a proven life-saving treatment for people whose heart s have stopped working all of a sudden due to an emergency condition called cardiac arrest.29 Nov 2023"
149,acogut 300 er tablet,Acotop 300mg Tablet ER,Dycotiam SR 300mg Tablet,Orgamide 300mg Tablet ER,Actapro OD Tablet,Acotrust  OD 300mg Tablet ER,Headache,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Functional dyspepsia,,,,,Salicylamide Derivative,No,GASTRO INTESTINAL,Anticholinesterase-Prokinetic agent ,"Acogut 300 ER Tablet: View Uses, Side Effects, Price and Substitutes"
150,acuvin tablet,Tolydol Tablet,PT 325mg/37.5mg Tablet,Calpol T  Tablet,Dolonat Tablet,Ultramol 325 mg/37.5 mg Tablet,Nausea,Vomiting,Constipation,Weakness,Dizziness,Dryness in mouth,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,Yes,PAIN ANALGESICS,,"Acuvin tablet is used for treating pain and fever. It comprises two compounds: Paracetamol 325 mg and tramadol 37.5 mg. Paracetamol belongs to the NSAID (non-steroidal, anti-inflammatory drugs) group.21 Jan 2022"
151,ab-flo sr tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives,"AB-Flo SR Tablet comprises of theophylline-7 acetate and ambroxol which makes it effective in making the mucus more fluid and clearing the airways easily, thereby making breathing easier.19 Feb 2024"
152,air-m tablet,Emlukast-FX Tablet,LCFEX-Mont Tablet,Fixar 10mg/120mg Tablet,Histakind-M Tablet,Histafree-M Tablet,Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,No,RESPIRATORY,,"Air-M Tablet is a combination of two medicines: Montelukast and Fexofenadine. This medicine is used to treat allergy symptoms like runny nose, sneeze and cough. It works by lowering the chemicals in the body that cause allergy symptoms."
153,atorlip-f tablet,Atortrue F 10mg/145mg Tablet,Bettor Plus Tablet,Medistatin F 10mg/145mg Tablet,Fenovast 10mg/145mg Tablet,Atoor F 10mg/145mg Tablet,Nausea,Stomach pain,Constipation,Flatulence,Headache,Muscle pain,Increased liver enzymes,Increased glucose level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of High cholesterol,Prevention of Heart attack,,,,,No,CARDIAC,,"Atorlip F Tablet 15's is composed of two medicines, namely: Atorvastatin (HMG-CoA reductase inhibitor) and Fenofibrate (fibrates). Atorvastatin is a lipid-lowering medication that blocks the enzyme HMG-CoA reductase required to make cholesterol in the body."
154,advent forte 457mg syrup tangy orange,Cynoclav DS Syrup,Amoxyclav DS Syrup,Satclav DS Syrup,Amoclave  DS  Syrup,Semox CV Forte Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,,Advent Forte 457mg Syrup Tangy Orange - 1mg
155,amlodac 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP),Amlodac 5 Tablet contains Amlodipine 5mg used to treat high blood pressure or hypertension. It also helps in the prevention of angina (chest pain due to heart problems) Chemical Class: Dihydropyridine Carboxylic acids derivatives.
156,aztor 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Atorsave 40 Tablet,Atorfit 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),AZTOR 40MG TABLET contains Atorvastatin which belongs to the group of medicines called Lipid-lowering drugs. It is used to reduce elevated high blood cholesterol levels (hyperlipidaemia) in patients when diet and lifestyle changes does not result in an adequate response.30 Sept 2022
157,ascoril plus expectorant,Megaril Expectorant,Pulmo Rest S Expectorant,Respidac TBG Expectorant,Pedicute-A Expectorant,Sudin-EX Expectorant,Nausea,Indigestion,Bloating,Vomiting,Diarrhea,Stomach pain,Dizziness,Headache,Sweating,Skin rash,Hives,Tremors,Increased heart rate,Palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough,,,,,,No,RESPIRATORY,,"Ascoril Plus Expectorant 120 ml is a combination of four drugs, namely: Bromhexine hydrochloride, Guaifenesin, Menthol and Terbutaline sulphate. Bromhexine hydrochloride works by thinning and loosening phlegm (mucus) in the lungs, windpipe and nose, making it easier to cough it out."
158,alupent 10mg tablet,Orcibest Tablet,,,,,Tremors,Headache,Restlessness,Insomnia (difficulty in sleeping),Palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),,,,,Resorcinol Derivative,No,RESPIRATORY,Short acting β2-agonists,"Alupent 10mg Tablet: View Uses, Side Effects, Price and Substitutes"
159,amlip at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Check AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,Amlip At (5/50 mg) Tablet is composed of Amlodipine and Atenolol. Amlodipine works by relaxing the heart muscles and blood vessels. Atenolol blocks certain substances (catecholamines) which increases blood pressure.23 Aug 2021
160,asthakind-p drops,Afrodyl Oral Drops,Meddryl Oral Drops,Vizcof-AX Oral Drops,Amrox GT Oral Drops,Posthma-X Oral Drops,Excessive salivation,Fatigue,Paresthesia (tingling or pricking sensation),Stomach discomfort,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,Dizziness,Headache,Rash,Tremors,Increased heart rate,Indigestion,Bloating,Upper abdominal pain,Urticaria,Itching,Sweating,Changes in serum aminotransferase levels,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Asthakind P Drops 15 ml is a combination of three drugs, namely: Ambroxol, Guaifenesin, and Terbutaline. Ambroxol belongs to the class of mucolytic agents (cough/sputum thinner) that work by thinning and loosening phlegm (mucus) in the lungs, windpipe, and nose for coughing out easily."
161,allegra nasal spray,Isomet-F Nasal Spray,Sinospray-FT Nasal Spray,Spiroflut Nasal Spray,Spiroflut Nasal Spray,Ryno Nasal Spray,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids,Allegra Nasal Duo Spray is a combination of two medicines. Fluticasone Furoate is a steroid that works by blocking the production of certain chemical messengers in the body that cause inflammation (redness and swelling) and allergies. Azelastine is an antihistaminic medication.29 Nov 2023
162,addnok 0.2mg tablet,Tidigesic 0.2mg Tablet,Buprocare 0.2mg Tablet,,,,Weakness,Drug withdrawal syndrome,Anxiety,Nervousness,Dizziness,Headache,Diarrhea,Nausea,Vomiting,Sleepiness,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Opioid (Morphine) dependence,,,,,Phenanthrenes Derivatives,Yes,NEURO CNS,Opioids- Partial agonist,"Addnok Sublingual tablet: View Uses, Side Effects, Price and ... - 1mg"
163,aldosmin 1000mg tablet,Samflav 900mg/100mg Tablet,Daflon 1000mg Tablet,Daflon 1000mg Tablet,Dezoflav Tablet,,Diarrhea,Dizziness,Hives,Itching,Nausea,Erythema (skin redness),Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Varicose veins,,,,,,No,CARDIAC,,"Aldosmin 1000mg Tablet: View Uses, Side Effects, Price and ... - 1mg"
164,andre i-kul eye drop,Eyce Eye Drop,Kono-CP Eye Drop,Recool Eye Drop,Cooleye Eye Drop,Relax Plus Eye Drop,Eye pain,Eye irritation,Stinging in the eyes,Blurred vision,Photophobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic eye disease,,,,,,No,OPHTHAL,,"Andre I-Kul Eye Drop: View Uses, Side Effects, Price and Substitutes"
165,antiflu 75mg capsule,Oselet 75mg Capsule,Mcosvir 75mg Capsule,Starflu 75mg Capsule,Osiflu 75 Capsule,Oselow 75 Capsule,Nausea,Vomiting,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Influenza (flu),,,,,Gamma amino acids derivatives {Acetamido cyclohexene},No,ANTI INFECTIVES,Neuraminidase Inhibitors,It contains oseltamivir as an active ingredient. It acts by stopping the growth and thus killing the virus and thus preventing the spread of the virus. This medicine should be used only by adults and children above 14 years of age. Antiflu tablet is consumed with food to avoid an upset stomach.26 Oct 2023
166,alerfix total tablet sr,Trikast Tablet SR,Levotac-Max Tablet SR,Monexia AL 75mg/5mg/10mg Tablet SR,Monticope-A Tablet SR,Albicet AM Plus 75mg/5mg/10mg Tablet SR,Nausea,Upset stomach,Dryness in mouth,Headache,Fatigue,Allergic reaction,Sleepiness,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Respiratory tract disorders associated with viscid mucus,,,,,,No,RESPIRATORY,,"Alerfix Total Tablet SR is a combination of three medicines: Ambroxol, Levocetirizine and Montelukast. Ambroxol is a mucolytic which thins and loosens mucus (phlegm), making it easier to cough out. Levocetirizine is an antiallergic which relieves allergy symptoms like runny nose, watery eyes and sneezing.29 Nov 2023"
167,alex-l cough syrup mango,Zerotuss Oral Suspension,Kofdip Oral Suspension Mango,Coff-Tuss Oral Suspension Mango,Zerotuss Oral Suspension Sugar Free,Lecofil LC Oral Suspension Delicious Mango,Nausea,Drowsiness,Dizziness,Dryness in mouth,Fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,Diphenylmethane Derivative,No,RESPIRATORY,Cough suppressants,"Alex-L Cough Syrup Mango: View Uses, Side Effects, Price ... - 1mg"
168,atropine sulphate injection,Atropa 0.6mg Injection,Atronex 0.6mg Injection,Atromac 0.6mg Injection,Atrowok 0.6mg Injection,Atrofine 0.6mg Injection,Injection site pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bradycardia,,,,,Natural Alkaloids,No,OPHTHAL,Anticholinergics,"Atropine Sulfate Injection, USP is a sterile solution of atropine sulfate in Water for Injection. Each mL contains Atropine Sulfate 0.4 mg; Sodium Chloride 9 mg; Benzyl Alcohol 9 mg; Water for Injection qs; pH may be adjusted with Sulfuric Acid if necessary. pH 3.0-6.5."
169,aquaviron injection 1ml,,,,,,"Injection site reactions (pain, swelling, redness)",Acne,Voice change,Breast enlargement in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Male hypogonadism,,,,,Androgens Derivative,No,SEX STIMULANTS REJUVENATORS,Androgens,Aquaviron Injection 1ml is an injectable preparation which contains a synthetic form of testosterone (a male sex hormone). It is used in the treatment of male hypogonadism (a condition in which the body does not produce enough testosterone).23 Feb 2024
170,aciclovir 400 tablet,Norbita 400mg Tablet,Axovir 400mg Tablet,Cyclopiz 400mg Tablet,Aciv 400mg Tablet,Vircyclo 400mg Tablet,Headache,Dizziness,Vomiting,Nausea,Fatigue,Fever,Stomach pain,Diarrhea,Skin rash,Photophobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Herpes Simplex Virus Infections, Chickenpox, Herpes labialis, Shingles, Genital herpes infection,Nucleoside analog,No,ANTI INFECTIVES,Antiviral (Non-HIV) drugs,"The active substance is Aciclovir. Each tablet contains 400 mg of Aciclovir. The other ingredients are: Magnesium stearate, microcrystalline cellulose, sodium starch glycollate, pregelatinised starch and colloidal anhydrous silica."
171,alkof dx syrup,Terlin DM Syrup,Leerex-DX Syrup,Cofrex-DX Syrup,EL Tuss Syrup,Riacof Kid Syrup,Upset stomach,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,"Alkof DX Syrup is a combination of two medicines: Chlorpheniramine Maleate and Dextromethorphan Hydrobromide, which relieves dry cough. Chlorpheniramine Maleate is an antiallergic which helps reduce cough associated with allergies by blocking the effects of a chemical messenger, histamine.23 Jan 2024"
