id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
3222,asmaril syrup,Brotasin Syrup,Windex-GR Syrup,Molkuf BR Syrup,Kufzen-B Syrup,Sono-MB Syrup,Nausea,Indigestion,Bloating,Vomiting,Diarrhea,Stomach pain,Dizziness,Headache,Sweating,Skin rash,Hives,Tremors,Increased heart rate,Palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough,,,,,,No,RESPIRATORY,
3223,albend 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,No,ANTI INFECTIVES,Antiprotozoal agents
3224,azinix 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3225,aprenext 30mg tablet,Apremist 30mg Tablet,Aplex 30mg Tablet,Aprotyl 30mg Tablet,Mprila Tablet,Pdlast Tablet,Diarrhea,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Plaque psoriasis,,,,,Isoindole Derivative,No,PAIN ANALGESICS,Phosphodiesterase-IV inhibitors (PsA & PSO)
3226,alastin ag syrup,Daslin NF Syrup,Extus Syrup,Magnatuss A Syrup,Lorfast-AM Syrup,Alaspan AG Syrup,Nausea,Diarrhea,Vomiting,Stomach pain,Rash,Hives,Dizziness,Headache,Allergic reaction,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough with mucus,,,,,,No,RESPIRATORY,
3227,aldryl soft gelatin capsule,Benacof 25mg Soft Gelatin Capsule,Multidryl 25mg Soft Gelatin Capsule,BENADRYL 25 MG SOFT GELATIN CAPSULE,,,Dizziness,Drowsiness,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Nasal allergy symptoms,Treatment and prevention of Motion sickness,Treatment of Insomnia,,,Diphenylmethanes derivatives,No,RESPIRATORY,H1 Antihistaminics (First Generation)
3228,anbid 500 tablet,Cefoxim 500 Tablet,Zefu 500 Tablet,Bigcef 500 Tablet,Cefakind 500 Tablet,Pulmocef 500 Tablet,Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Intermediate spectrum {Second generation cephalosporins},No,ANTI INFECTIVES,Cephalosporins: 2nd generation
3229,admark gel,Alene Gel,Adaple 0.1% Gel,Acfree Gel,Vandep 0.1% Gel,Daple  Gel,Erythema (skin redness),Dry skin,Skin peeling,Skin burn,Itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,Retinoids,No,DERMA,Retinoids- Third generation
3230,aprin 50mg tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea,Infection,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,Treatment of Rheumatoid arthritis,,,,"Nucleoside Analog, and Purines",No,ANTI NEOPLASTICS,Immunosuppressant- Purine analogs
3231,amp-taj 1000mg injection,,,,,,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,Aminopenicillins {Penicillins},No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin
3232,actowin 0.05% nasal drops,Xylovin Nasal Drops,Xylomet P Nasal Drops,X Aim P 0.05% Nasal Drops,Dolocold Junior Nasal Drops,Ingee P Nasal Drops,Nasal irritation,Dry nose,Nausea,Headache,Burning sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Nasal congestion (blocked nose),,,,,Phenylpropane Derivative,No,RESPIRATORY,Sympthatomimmetics- alpha 1 (Nasal)
3233,addtim injection,Eritha 100 Injection,G-Myn Injection,Elthiamine Injection,Thiabion Injection,,"Injection site reactions (pain, swelling, redness)",Allergic reaction,Skin irritation,Cough,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Nutritional deficiencies,,,,,Thiamine Derivative,No,VITAMINS MINERALS NUTRIENTS,Vitamins
3234,acronite 50 tablet,Walkalarm 50mg Tablet,Armovin 50 Tablet,Waklert 50 Tablet,Armod 50 Tablet,Armovigil 50mg Tablet,Headache,Dizziness,Nausea,Insomnia (difficulty in sleeping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Narcolepsy (Uncontrollable daytime sleepiness),,,,,Diphenylmethane Derivative,Yes,NEURO CNS,Stimulant/ Drug for excessive sleepiness
3235,akukold tablet,Emcold Tablet,Coldbip-Plus Tablet,Surgicold-DP Tablet,Cutcold Tablet,Urdef Tablet,Nausea,Vomiting,Insomnia (difficulty in sleeping),Dizziness,Impaired coordination,Headache,Sedation,Inability to concentrate,Irritability,Tremors,Diarrhea,Dryness in mouth,Fatigue,Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,
3236,apxaban 2.5 tablet,Cadiquis 2.5mg Tablet,Apixapil 2.5mg Tablet,Apiquis 2.5 Tablet,Prepixa 2.5 Tablet,Apixagress 2.5mg Tablet,Anemia (low number of red blood cells),Blood in urine,Bruise,Nausea,Nosebleeds,Hematoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Blood clots,,,,,Phenylpiperidines,No,BLOOD RELATED,Oral Factor Xa Inhibitors
3237,acebronk 200mg tablet sr,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives
3238,abd 200mg suspension,Albrodo 200mg Suspension,Tuff 200mg Suspension,Aldezole 200mg Suspension,Odal 200mg Suspension,Xenith 200mg Suspension,Sore throat,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,No,ANTI INFECTIVES,Antiprotozoal agents
3239,accept-xl tablet,Acnoa 100 mg/50 mg Tablet,Cartiflex 100 mg/50 mg Tablet,Dica Tablet,Ortholix AC Tablet,Dizi-A 100mg/50mg Tablet,Nausea,Vomiting,Indigestion,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Urine discoloration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Arthralgia (joint pain),,,,,,No,PAIN ANALGESICS,
3240,aztre 1gm injection,Reonam 1gm Injection,Druzem 1gm Injection,Azotum 1gm Injection,Limonam 1gm Injection,Manvit 1gm Injection,Rash,"Injection site reactions (pain, swelling, redness)",Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Severe bacterial infections,,,,,Carbapenems derivative,No,ANTI INFECTIVES,Monobactams
3241,actlin 100mg tablet,Actapro Tablet,Dycotiam Tablet,Tocamide Tablet,Actapro Tablet,Acogut Tablet,Headache,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Functional dyspepsia,,,,,Salicylamide Derivative,No,GASTRO INTESTINAL,Anticholinesterase-Prokinetic agent 
3242,argitrust sachet orange sugar free,,,,,,Limited data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Nutritional deficiencies,,,,,,No,VITAMINS MINERALS NUTRIENTS,
3243,alporate d 250mg tablet,Dilpra 250 Tablet,Genval OD 250mg Tablet,Diresta 250mg Tablet,Soval Dvx 250mg Tablet,Neuproex OD 250mg Tablet,Headache,Dizziness,Blurred vision,Weakness,Abdominal pain,Infection,Nausea,Vomiting,Sleepiness,Hair loss,Weight gain,Double vision,Diarrhea,Tremors,Weight loss,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Epilepsy/Seizures,Treatment of Bipolar disorder,Prevention of Migraine,,,Aliphatic Carboxylic acid Derivatives,No,NEURO CNS,Sodium channel modulators (AED)
3244,aziford 200 oral suspension,Aztil 200mg Oral Suspension,Nuzith 200mg Oral Suspension,Ezika 200mg Oral Suspension,Dazi 200mg Oral Suspension,Auctiz 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3245,azirox 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3246,almag o oral gel,,,,,,Chalky taste,Diarrhea,Constipation,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acidity,Treatment of Heartburn,Treatment of Stomach ulcers,,,,No,GASTRO INTESTINAL,
3247,axtum 500mg tablet,Cefoxim 500 Tablet,Zefu 500 Tablet,Bigcef 500 Tablet,Cefakind 500 Tablet,Pulmocef 500 Tablet,Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Intermediate spectrum {Second generation cephalosporins},No,ANTI INFECTIVES,Cephalosporins: 2nd generation
3248,alcysta 500mg/150mg tablet,Renoxi Tablet,Nefro ACT 500mg/150mg Tablet,Soihenz Tablet,Nefrozon Tablet,Enpharine Tablet,Nausea,Vomiting,Rash,Fever,Runny nose,Diarrhea,Abdominal pain,Skin irritation,Throat irritation,Drowsiness,Chest tightness,Hives,Wheezing,Breathing problems,Coughing up blood,Cold skin,Mouth sore,Mouth swelling,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Diabetic kidney disease,,,,,,No,ANTI DIABETIC,
3249,ambrotus c syrup,Cetlong Plus Syrup,Cetariv A Syrup,Amcold Syrup,Cetrinem A Syrup,Ambcet Syrup,Upset stomach,Dryness in mouth,Fatigue,Dizziness,Sedation,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough,,,,,,No,RESPIRATORY,
3250,anxicalm 0.5mg tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines
3251,allyzole cream,Ketoberg Cream,Ketostar Cream,Uroketo 2% Cream,Ketoscalp Cream,Konaz Antifungal Cream,Skin peeling,"Application site reactions (burning, irritation, itching and redness)",Nausea,Vomiting,Abdominal pain,Increased liver enzymes,Application site redness,Itching,Diarrhea,Abnormal liver function tests,Adrenal insufficiency,Application site burning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Fungal skin infections,,,,,Azole derivatives {Imidazoles},No,DERMA,Fungal ergosterol synthesis inhibitor
3252,alicon 150mg tablet,Venzol 150mg Tablet,Luzo 150mg Tablet,Fluent 150mg Tablet,Gocan 150mg Tablet,Fluka 150 Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},No,ANTI INFECTIVES,Fungal ergosterol synthesis inhibitor
3253,azizoom 500mg tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Azee 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3254,anocream cream,Anowill Cream,,,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Piles,,,,,,No,DERMA,
3255,anadecon tablet,Cosil Forte Tablet,Cold Off Tablet,Quicol Tablet,Snizaril Tablet,Crozy Plus Tablet,Nausea,Insomnia (difficulty in sleeping),Restlessness,Headache,Tachycardia,Palpitations,Dizziness,Fear,Anxiety,Tremors,Weakness,Discomfort when urinating,Hallucination,Convulsion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,
3256,alonac tc 100mg/4mg tablet,Bignac-MR 4 Tablet,Neorelax A 4mg Tablet,Thioquest A 100 mg/4 mg Tablet,Canace-TH4 Tablet,Thichoren AC 4 Tablet,Nausea,Vomiting,Heartburn,Stomach pain/epigastric pain,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pain due to muscle spasm,,,,,,No,PAIN ANALGESICS,
3257,azimol 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3258,apolar nt 75 tablet,Neurica NT Tablet,Pregalift NT Tablet,Nervite Tablet,Nervilax NT 75mg/10mg Tablet,Pregalin NT 75mg/10mg Tablet,Constipation,Difficulty in urination,Weight gain,Sleepiness,Dizziness,Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,No,NEURO CNS,
3259,aedi-glim m2 tablet sr,Glimed-MF 2/1000 SR Tablet,Endoformin G Forte 2mg/1000mg Tablet SR,Glimfirst-M2 Forte 2mg/1000mg Tablet SR,Glycomet-GP 2 Forte Tablet SR,Glynamic M 2 Forte Tablet SR,Hypoglycemia (low blood glucose level),Headache,Nausea,Diarrhea,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,
3260,aropax 12.5mg tablet pr,Pxr 12.5mg Tablet PR,Parona CR 12.5 Tablet,Pariwave CR 12.5 Tablet,Prozet 12.5mg Tablet PR,Paroxee CR 12.5 Tablet,Nausea,Fatigue,Dryness in mouth,Loss of appetite,Increased sweating,Dizziness,Nervousness,Tremors,Low sexual desire,Insomnia (difficulty in sleeping),Confusion,Constipation,Erectile dysfunction,Delayed ejaculation,Decreased libido,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Anxiety disorder,,,Phenylpiperidine Derivative,No,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs)
3261,apxenta 10 tablet,Apraize 10 Tablet,Aprezo 10 Tablet,,,,Diarrhea,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Plaque psoriasis,,,,,Isoindole Derivative,No,PAIN ANALGESICS,Phosphodiesterase-IV inhibitors (PsA & PSO)
3262,arotex 25mg tablet,HD Zine 25mg Tablet,Hyzox 25 Tablet,Hizet 25mg Tablet,Hydil 25mg Tablet,Zyzine 25mg Tablet,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,No,RESPIRATORY,H1 Antihistaminics (First Generation)
3263,acelera-p tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3264,acilex-p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3265,acnac-mr tablet,Askil Forte 100 mg/250 mg/250 mg Tablet,,,,,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
3266,amazil 10mg tablet,Nepzil 10mg Tablet,Dnp 10mg Tablet,Alzepil 10mg Tablet,Donzil 10mg Tablet,Senpezil 10 Tablet,Nausea,Diarrhea,Insomnia (difficulty in sleeping),Vomiting,Muscle cramp,Fatigue,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Alzheimer's disease,,,,,Carbamate Derivative,No,NEURO CNS,Cholinesterase inhibitors - Alzheimer's disease
3267,autoclave lb 500mg/125mg tablet,Nishclav 625 LB Tablet,Rzcv LB 500mg/125mg Tablet,Nexclav LB 500mg/125mg Tablet,Moxcid-LB 625 Tablet,Moxylik CV 500mg/125mg Tablet,Nausea,Diarrhea,Vomiting,Flatulence,Rash,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,,No,ANTI INFECTIVES,
3268,apriglim-m 2 tablet pr,Glimiprex MF 2/500 Tablet PR,Glimestar-M 2 Tablet PR,Metride 2 Tablet PR,Geminor M 2 Tablet PR,Exermet GM 502 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea,Diarrhea,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,
3269,atosky 10mg tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
3270,almazine 2.5mg tablet,Luzon 2.5 Tablet,Flylor 2.5mg Tablet,,,,Dizziness,Weakness,Sedation,Balance disorder (loss of balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Short term anxiety,Treatment of Anxiety disorder,,,,Benzodiazepines Derivative,Yes,RESPIRATORY,Benzodiazepines
3271,anacort 1% cream,Locort Cream,Sorias Cream,Urea HC Cream,Delster Cream,Drocort Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Eczema, Severe allergic reactions,Treatment of Allergic conditions,Treatment of Cancer,Treatment of Skin disorders,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
3272,acitak 150 mg tablet,,,,,,Headache,Dizziness,Diarrhea,Muscle pain,Skin rash,Tiredness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Heartburn, Gastroesophageal reflux disease (Acid reflux), Peptic ulcer disease,,,Imidazoles Derivative,No,GASTRO INTESTINAL,H2 Receptor Blocker
3273,alkem plus syrup,Coldrest  Syrup,Avocold Syrup,Childryl ZP Syrup,Cheston Cold DS Syrup Tangy & Sweet Orange Flavour,,Nausea,Vomiting,Headache,Fatigue,Dizziness,Dryness in mouth,Sleepiness,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,
3274,az 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3275,amis 200mg tablet,Cgsulpride 200mg Tablet,Zopride 200mg Tablet,Amisant 200 Tablet,Zulpride 200mg Tablet,Amicest 200mg Tablet,Nausea,Vomiting,Dryness in mouth,Constipation,Weight gain,Decreased blood pressure,Dystonia (involuntary muscle contractions),Akathisia (inability to stay still),Parkinsonism,Increased prolactin level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia,,,,,Denzamide Derivative,No,NEURO CNS,Atypical Antipsychotics
3276,ancef 500 tablet,Cefoxim 500 Tablet,Zefu 500 Tablet,Bigcef 500 Tablet,Cefakind 500 Tablet,Pulmocef 500 Tablet,Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Intermediate spectrum {Second generation cephalosporins},No,ANTI INFECTIVES,Cephalosporins: 2nd generation
3277,apidine eye drop,Ketsol D Eye Drop,,,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Wound infection,,,,,Iodinated polyvinyl polymer,No,OPHTHAL OTOLOGICALS,Antiseptics and disinfectants
3278,albekem 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Sezole 400mg Tablet,Taurworm 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,No,ANTI INFECTIVES,Antiprotozoal agents
3279,aspira 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3280,alnacort 6mg tablet,Zefcort 6 Tablet,Sterozit 6mg Tablet,Mahacort DZ 6 Tablet,Ronicort 6mg Tablet,Flacort 6mg Tablet,Increased appetite,Weight gain,Frequent urge to urinate,Cushing syndrome,Cough,Upper respiratory tract infection,Abnormal hair growth,Obesity,Nasopharyngitis (inflammation of the throat and nasal passages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,Treatment of Cancer,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,HORMONES,Glucocorticoids
3281,astin cv 20 capsule,Atorec CV 20 Capsule,Avas CV 20 Capsule,Atorsave CV 20 Capsule,Statiga CV 20mg/75mg Capsule,Deplatt-AV 20 Capsule,Stomach pain,Diarrhea,Indigestion,Constipation,Headache,Dizziness,Muscle pain,Weakness,Increased glucose level in blood,Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Heart attack prevention and high cholesterol,,,,,,No,CARDIAC,
3282,althrocin forte 250mg syrup,,,,,,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3283,apan dsr 10 mg/20 mg capsule,Calmgut 10mg/20mg Capsule,Pantopep D Capsule,Proloc-D Capsule,Stomid D 10 mg/20 mg Capsule,Praize D 10mg/20mg Capsule,Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,No,GASTRO INTESTINAL,
3284,auriase 5mg tablet,Gredes 5mg Tablet,Lorday Tablet,Alides 5mg Tablet,Deswin 5mg Tablet,Nucope 5mg Tablet,Sleepiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Piperidine Derivate,No,RESPIRATORY,H1 Antihistaminics (second Generation)
3285,apgesic tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3286,aminosteril infusion,Aminosteril N Hepa Infusion,Lamino 8% Infusion,,,,Folic acid deficiency,Chills,Fever,"Flushing (sense of warmth in the face, ears, neck and trunk)",Increased sweating,Metabolic disorder,Vomiting,Liver damage,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Nutritional deficiencies,,,,,Amino acids,No,VITAMINS MINERALS NUTRIENTS,Amino acids
3287,azcor 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
